Using backend: pytorch
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
           aten::index_select_backward         0.54%      97.275ms         2.87%     521.254ms       1.738ms      98.413ms         0.54%     525.785ms       1.753ms           0 b           0 b     324.99 Mb           0 b           300  
                             aten::cat         1.49%     271.141ms         2.73%     496.517ms     827.528us     269.641ms         1.49%     496.938ms     828.231us           0 b           0 b      76.03 Mb           0 b           600  
       torch::autograd::AccumulateGrad         1.06%     192.668ms         2.49%     452.637ms     754.395us     183.131ms         1.01%     441.393ms     735.656us           0 b           0 b    -141.93 Mb    -141.93 Mb           600  
                     aten::bitwise_not         1.15%     209.444ms         2.33%     423.743ms     706.238us     251.936ms         1.39%     430.705ms     717.841us           0 b           0 b       6.15 Mb           0 b           600  
                        aten::addcdiv_         1.49%     270.844ms         2.26%     410.227ms     683.712us     270.379ms         1.49%     409.313ms     682.188us           0 b           0 b           0 b           0 b           600  
                        aten::addcmul_         1.47%     266.411ms         2.22%     403.608ms     672.680us     264.499ms         1.46%     404.055ms     673.426us           0 b           0 b           0 b           0 b           600  
                            aten::set_         2.24%     406.065ms         2.24%     406.065ms     338.388us     401.123ms         2.22%     401.123ms     334.269us           0 b           0 b           0 b           0 b          1200  
                            aten::pow_         1.29%     233.651ms         2.21%     402.277ms       1.341ms     234.877ms         1.30%     400.651ms       1.336ms           0 b           0 b           0 b           0 b           300  
                              aten::ne         1.15%     209.265ms         1.98%     360.015ms     600.024us     250.143ms         1.38%     357.054ms     595.090us           0 b           0 b       6.15 Mb           0 b           600  
                             aten::div         1.52%     275.160ms         1.91%     346.909ms     578.182us     348.121ms         1.92%     348.121ms     580.202us           0 b           0 b     143.36 Mb           0 b           600  
                            aten::sqrt         1.49%     271.045ms         1.90%     344.694ms     574.490us     346.056ms         1.91%     346.056ms     576.760us           0 b           0 b     143.36 Mb           0 b           600  
                    aten::scatter_add_         1.59%     288.755ms         1.66%     301.566ms     502.610us     299.487ms         1.66%     299.487ms     499.145us           0 b           0 b           0 b           0 b           600  
                          aten::arange         0.78%     141.817ms         1.59%     288.908ms     481.513us     181.871ms         1.01%     290.145ms     483.574us           0 b           0 b      12.60 Mb           0 b           600  
                          MulBackward0         0.53%      96.638ms         1.62%     294.009ms     980.030us      96.178ms         0.53%     289.044ms     963.481us           0 b           0 b       1.46 Gb           0 b           300  
                          aten::matmul         0.37%      66.962ms         1.44%     262.382ms     874.608us      60.010ms         0.33%     269.742ms     899.138us           0 b           0 b     304.79 Mb           0 b           300  
                              aten::to         1.38%     250.358ms         1.38%     250.358ms     119.218us     251.214ms         1.39%     251.214ms     119.626us           0 b           0 b           0 b           0 b          2100  
                            aten::full         0.40%      71.891ms         1.35%     245.833ms     819.443us     111.530ms         0.62%     245.707ms     819.022us           0 b           0 b       3.22 Mb           0 b           300  
                         aten::reshape         1.19%     216.890ms         1.29%     234.538ms     130.299us     235.985ms         1.30%     235.985ms     131.103us           0 b           0 b           0 b           0 b          1800  
                    ScatterAddBackward         0.36%      64.583ms         1.27%     231.480ms     771.601us      64.711ms         0.36%     233.855ms     779.516us           0 b           0 b       1.48 Gb           0 b           300  
                            aten::_cat         0.81%     146.296ms         1.24%     225.376ms     375.626us     227.297ms         1.26%     227.297ms     378.829us           0 b           0 b      76.03 Mb           0 b           600  
                    aten::index_select         0.97%     176.252ms         0.99%     179.711ms     599.038us     184.336ms         1.02%     184.336ms     614.454us           0 b           0 b       1.48 Gb       1.48 Gb           300  
                            aten::ones         0.38%      69.638ms         0.97%     176.943ms     589.810us     104.959ms         0.58%     177.566ms     591.886us           0 b           0 b      12.16 Mb           0 b           300  
                          aten::gather         0.73%     132.002ms         0.92%     166.897ms     556.324us     169.144ms         0.93%     169.144ms     563.814us           0 b           0 b       1.48 Gb           0 b           300  
